tweet_id,fecha_utc,contenido_texto,retweets,favoritos,fecha_limpia,puntuacion_sentimiento,sentimiento
at://did:plc:pnnr5hwiyqmp7fk6socsdsdj/app.bsky.feed.post/3mlox4e3q322w,2026-05-12 23:31:53.044000+00:00,Bone Apple Teeth,0,64,2026-05-12,0.9938,positive
at://did:plc:rx254tale7vxylw27ah6qzs5/app.bsky.feed.post/3mlontzgnv22g,2026-05-12 20:46:09.744000+00:00,"When I come back from this vacation 10 lbs heavier, just know I was doing what I love",53,1539,2026-05-12,0.9994,positive
at://did:plc:ltjrnyaxxua6bstlgayvu4j7/app.bsky.feed.post/3mlotkvhz3s2n,2026-05-12 22:28:26.068000+00:00,Grown up sized White Vision I’m friends with: The way I be drinking this damn apple juice…ooh chile😂 Me: You can’t be talking like that White Vision.,11,113,2026-05-12,0.9273,positive
at://did:plc:pjx5q7ozubiuiefbscaivmvj/app.bsky.feed.post/3mlong5prms2i,2026-05-12 20:38:24.487000+00:00,I think they forgot the apple pie prop.,2,34,2026-05-12,0.0003,negative
at://did:plc:hy2dvachxbe5qharrfldm77w/app.bsky.feed.post/3mloe772ww223,2026-05-12 17:53:27.322000+00:00,got that mid 90s apple swag (they/them only),25,116,2026-05-12,0.0009,negative
at://did:plc:hfgp6pj3akhqxntgqwramlbg/app.bsky.feed.post/3mlokb5yiks2z,2026-05-12 19:41:55.770000+00:00,Fuck you Apple,8,37,2026-05-12,0.0139,negative
at://did:plc:rj7sphb3g7r2bbdclow4hdut/app.bsky.feed.post/3mloskvfzh22x,2026-05-12 22:10:32.252000+00:00,Apple News with a hilarious refresh pull…,0,8,2026-05-12,0.9999,positive
at://did:plc:hy2dvachxbe5qharrfldm77w/app.bsky.feed.post/3mloq5xkea226,2026-05-12 21:27:30.809000+00:00,"this is a joke, of course. i'd never risk anything happening to my beloved 1993 vintage apple newton shirt.",0,26,2026-05-12,0.9667,positive
at://did:plc:r6e4wlsm742jro247z7fo3ng/app.bsky.feed.post/3mlomuf6quk2h,2026-05-12 20:28:28.335000+00:00,Poppy Applegate / Apple Bottom BTS. access.alsscan.com/track/6138.A...,3,17,2026-05-12,0.0017,negative
at://did:plc:r7qitvohhlzoflmog6vrj5wr/app.bsky.feed.post/3mloouxo5zc2z,2026-05-12 21:04:35.202000+00:00,"Goodnight from Arthur Handley, adding a drop of apple brandy to his tea to help him through the ghosted hours as watchman at Visconti Electronics Factory. Goodnight from the Moss Maiden of Harpole Wood, singing to the stars floating on its dark ponds. Goodnight from Hookland.",26,242,2026-05-12,0.0686,negative
at://did:plc:ne3b5f4o4vpkgxsv7fgbcaqg/app.bsky.feed.post/3mlol42hves2c,2026-05-12 19:56:58.055000+00:00,"Apple just published a new community recognition page with many inspiring developers, advocates, and educators who are making a difference in the Apple developer community and I'm so happy and honored to be one of them 😊 developer.apple.com/community/re...",5,45,2026-05-12,0.9999,positive
at://did:plc:isy5bcahwtje66nyob4r4v66/app.bsky.feed.post/3mlomi4qyac2y,2026-05-12 20:21:36.846000+00:00,Lunch is air fryer grilled cheese: Gouda and apple.,0,16,2026-05-12,0.1283,negative
at://did:plc:aunpu65mdrhwfie7ynymlzeh/app.bsky.feed.post/3mloukel2pd2l,2026-05-12 22:46:01.800000+00:00,"Watch the full episode of the Bulwark Podcast at The Bulwark and YouTube, or listen on Apple Podcasts, Spotify or wherever you get your podcasts: lnk.thebulwark.com/4uqdjMp?utm_...",8,34,2026-05-12,0.0049,negative
at://did:plc:p5yoii26kayabauhkym3vtms/app.bsky.feed.post/3mlo5kddz272k,2026-05-12 15:54:24.648000+00:00,TIL a bunch of ex-Gawker folks sold a series based on their stories to Apple and Tim Cook personally quashed it when he heard about it www.hollywoodreporter.com/business/dig...,278,1097,2026-05-12,0.0014,negative
at://did:plc:65z7pjsloqhwspuob3j7qmfh/app.bsky.feed.post/3mlo2ak2ye22v,2026-05-12 14:55:15.005000+00:00,ฺThose sticks must taste like green apple flavor 🍏 18+18 vers of Banyue art at Patreon! www.patreon.com/BNA_V5,122,523,2026-05-12,0.9667,positive
at://did:plc:ysfr5ddjy6sslthhuh2nnql4/app.bsky.feed.post/3mlotwecd322i,2026-05-12 22:34:50.709000+00:00,"evil witch: i have an apple for yo- oh wow you snatched that up quick me: *mouth full, crunching* i don't wanna get scurvy",2,24,2026-05-12,0.9971,positive
at://did:plc:m3tj3n7vqs7uyuwf2faoewhp/app.bsky.feed.post/3mlowpkkiv22v,2026-05-12 23:24:43.609000+00:00,"only one major angry birds game was globally released after sega's buyout and its the other apple arcade one this company is doomed since like, 2014",2,13,2026-05-12,0.0001,negative
at://did:plc:b4cmqlohnhcagyiuivuccn4j/app.bsky.feed.post/3mlow3qpdec2p,2026-05-12 23:13:38.971000+00:00,"i lowkey wish they’d bring back the Apple iBook laptop in some kind of form, i always wanted one when i was a kid 🥲😭💗",3,12,2026-05-12,0.0036,negative
at://did:plc:hy2dvachxbe5qharrfldm77w/app.bsky.feed.post/3mloq5ebrr226,2026-05-12 21:27:10.604000+00:00,the apple newton shirt stays ON during sex,2,42,2026-05-12,0.9381,positive
at://did:plc:ysfr5ddjy6sslthhuh2nnql4/app.bsky.feed.post/3mlotjzpqc22i,2026-05-12 22:27:56.961000+00:00,"evil witch: trust me, little one. eat the apple i offer thee me: do you have any pears instead. i'm not really an apple girl",0,6,2026-05-12,0.0036,negative
at://did:plc:ogfgif7dvrj3v3sgd2zlsu3p/app.bsky.feed.post/3mlowbuvsik2y,2026-05-12 23:17:04.706000+00:00,fuckkkkk i gotta make apple fritters again one of these days i made em once and they were fucking awesome,0,11,2026-05-12,0.9993,positive
at://did:plc:5vqsphemcpcbwxlevxgv54fv/app.bsky.feed.post/3mloloif2pk25,2026-05-12 20:07:16.623000+00:00,Can I offer him an apple?,0,8,2026-05-12,0.1282,negative
at://did:plc:aunpu65mdrhwfie7ynymlzeh/app.bsky.feed.post/3mlontrg22v2x,2026-05-12 20:46:01.010000+00:00,"Watch the full episode of the Bulwark Podcast at The Bulwark and YouTube, or listen on Apple Podcasts, Spotify or wherever you get your podcasts: lnk.thebulwark.com/4uqdjMp?utm_...",5,29,2026-05-12,0.0049,negative
at://did:plc:3m7moav33wyq26aeoq2osys2/app.bsky.feed.post/3mloowk2awk2n,2026-05-12 21:05:28.018000+00:00,"girl luuuuunch PB&J, 3 mini pickles, and honeycrisp apple slices with vegan cheddar ♡",1,7,2026-05-12,0.0383,negative
at://did:plc:eik4clq3pw3yevaiytbsiw5y/app.bsky.feed.post/3mlohtniegk2p,2026-05-12 18:58:34.775000+00:00,"Someone really liked this page The beef and apple loaf could be good. Love these old recipe where nothing is sautéed, it’s just straight into the loaf pan /4",1,57,2026-05-12,0.1098,negative
at://did:plc:4bcxo6cibkhetai4jpxytcei/app.bsky.feed.post/3mlo6bsntk22z,2026-05-12 16:07:32.522000+00:00,"“Apple Music Live: Lady Gaga MAYGEM Requiem” will debut on Apple Music as a free livestream, with no subscription required to watch. After the premiere, the full performance and its Spatial Audio live album will be available on demand exclusively to Apple Music subscribers.",0,41,2026-05-12,0.0044,negative
at://did:plc:5l3inwy6odockoivelojcgmh/app.bsky.feed.post/3mlotsssywc2o,2026-05-12 22:32:51.718000+00:00,A litter of broken hazelnut shells - apple blossoms stir.,0,4,2026-05-12,0.2306,negative
at://did:plc:ysfr5ddjy6sslthhuh2nnql4/app.bsky.feed.post/3mlotoboa4c2i,2026-05-12 22:30:19.517000+00:00,evil witch: eat the fucking apple me: i'm more of a blackberry user,4,13,2026-05-12,0.0012,negative
at://did:plc:oejl5nja7xyiswgu2be5ez2s/app.bsky.feed.post/3mlovy7usas2i,2026-05-12 23:11:40.663000+00:00,apple just marks every call as potential spam now. im blaming ai,0,5,2026-05-12,0.0005,negative
at://did:plc:r3haqjmmk6mlzlpjn4vrrgoa/app.bsky.feed.post/3mloyem72ms2t,2026-05-12 23:54:23.720000+00:00,"It’s insane that Tim Cook and Apple covered all of their shit in rainbows and now Tim is always hanging out with Trump, like, this is why I have massive trust issues lol",0,13,2026-05-12,0.0217,negative
at://did:plc:6lush74klvd4wx6izqsfvcpw/app.bsky.feed.post/3mlolwbptys2b,2026-05-12 20:11:38.041000+00:00,Incredibly grateful for Apple on recognizing my contributions in the developer community and featuring so many amazing people across the globe! developer.apple.com/community/re...,0,19,2026-05-12,0.9999,positive
at://did:plc:ffaxv6olfax2lr34aselrhox/app.bsky.feed.post/3mlow5tnn322o,2026-05-12 23:14:49.171000+00:00,If you like British crime shows like me (Slow Horses on Apple TV is my fave) check out Legends on Netflix. It’s excellent. #tvsky,0,10,2026-05-12,0.9998,positive
