tweet_id,fecha_utc,contenido_texto,retweets,favoritos,fecha_limpia,puntuacion_sentimiento,sentimiento
at://did:plc:wjljc54nads6ix5tlp4swebe/app.bsky.feed.post/3mi3daeo7hv2j,2026-03-28 00:00:03.039496+00:00,"teckel Web3 API hourly update Eth price (USD): 1991.34 (+0.4% 1 hr, -3.3% 24 hr) Click for API details API keys via App: Apple App Store Google Play Store #teckel #eth",0,0,2026-03-28,0.0013,negative
at://did:plc:34w6p2nygxpqkiqbkrnq56ip/app.bsky.feed.post/3mi3jz4pn6n2x,2026-03-28 02:00:49+00:00,#NowPlaying 🕐 1:00 pm 🎵 Dry Spell 🧑‍🎤 Kacey Musgraves 💿 Middle of Nowhere 🎧 Apple Music / YouTube Music 📝 Lyrics,0,0,2026-03-28,0.0029,negative
at://did:plc:34w6p2nygxpqkiqbkrnq56ip/app.bsky.feed.post/3mi3n5a22cn2j,2026-03-28 02:56:17+00:00,#NowPlaying 🕜 1:56 pm 🎵 Otherside 🧑‍🎤 Red Hot Chili Peppers 💿 Californication 🎧 Apple Music / YouTube Music 📝 Lyrics,0,1,2026-03-28,0.0113,negative
at://did:plc:p6vqcrekww6mqb74d7l6vxjj/app.bsky.feed.post/3mi3prqutpk27,2026-03-28 03:44:31.246000+00:00,He needs to sober up. Quick! Get this little one some apple juice or lemonade!,0,1,2026-03-28,0.0007,negative
at://did:plc:jixntlsghgiyndoin5zyc5rj/app.bsky.feed.post/3mi3pqdnkac2v,2026-03-28 03:43:43.822000+00:00,When will #Germ be available globally via the Apple App Store?,0,0,2026-03-28,0.0005,negative
at://did:plc:d7le2lmkymgo3erybc2w5bnt/app.bsky.feed.post/3mi3rj7visk2l,2026-03-28 04:15:32.488000+00:00,"🥳👻 The first ever VSpirits collab! 👻🥳 🗽🥰 The leader of this exclusive #Vtuber group @birdie-wirdie.bsky.social will be playing #Deadlock with @gwindor-vt.bsky.social, @b00giepunk.bsky.social, me, and likely more members! Tomorrow, March 29th, at 1 pm ET / 10 am PT! 🥰🗽 🔗📺 L1nks in profiles! 📺🔗",2,5,2026-03-28,0.0043,negative
at://did:plc:dz3dubg3bcqe7g3ye2adyjri/app.bsky.feed.post/3mi3sppkza22j,2026-03-28 04:37:03.992000+00:00,"I don’t think you’re wrong after all the media on the Apple projection scorebug. I’d prefer a viz for a distribution of an outcome. Could have been cooler/nerdier. But then again, they provide betting odds and no one says anything about how unexplained those are, so who knows!",0,0,2026-03-28,0.0008,negative
at://did:plc:34w6p2nygxpqkiqbkrnq56ip/app.bsky.feed.post/3mi3furw3ni2d,2026-03-28 00:45:44+00:00,#NowPlaying 🕦 11:45 am 🎵 Going Out 🧑‍🎤 Carla dal Forno 💿 Confession 🎧 Apple Music / YouTube Music 📝 Lyrics,0,0,2026-03-28,0.0114,negative
at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3mi4d7jvjha2y,2026-03-28 09:31:15+00:00,#NowPlaying 🕣 8:31 pm 🎵 RAIN 🧑‍🎤 FISHER 🎧 Apple Music / YouTube Music 📝 Lyrics,0,0,2026-03-28,0.0232,negative
at://did:plc:q43fzbpytktap2hd3aybaazb/app.bsky.feed.post/3mi4dojsw222y,2026-03-28 09:40:38.017000+00:00,Another series from a book I enjoyed on Apple was A Gentleman in Moscow.,0,0,2026-03-28,0.9857,positive
