tweet_id,fecha_utc,contenido_texto,retweets,favoritos,fecha_limpia,puntuacion_sentimiento,sentimiento
at://did:plc:62avmsau6rftldnrhyznsrbg/app.bsky.feed.post/3mmmtd2s6ss2v,2026-05-24 20:43:55.360000+00:00,apple for @plagueoffur.bsky.social :03,15,92,2026-05-24,0.0014,negative
at://did:plc:ti5r4ma724pw4xpvug4xhovq/app.bsky.feed.post/3mmmwy6fmmk24,2026-05-24 21:49:24.994000+00:00,“Cobra Pec Flex” Lineart commission for @bluetitsnek.bsky.social :3 Drawn on my iPad + Apple Pencil (Procreate) My Telegram channel: t.me/+f3Bs49fPWWZ...,83,360,2026-05-24,0.0023,negative
at://did:plc:mbvk6ulcffx7jjmnwlbduzxl/app.bsky.feed.post/3mmmyhwny322c,2026-05-24 22:16:07.509000+00:00,yujiro hanma has come to tekken to taste marshall law's legendary apple fritters,43,96,2026-05-24,0.999,positive
at://did:plc:d2lqepo76zpmiw33nvjlot6l/app.bsky.feed.post/3mmmqx66rb223,2026-05-24 20:01:28.773000+00:00,A very small part of a current project for @thebiblionaut.bsky.social ! #MyArt #WIP #DigitalPainting,55,203,2026-05-24,0.0058,negative
at://did:plc:xjc7mkotpenvhh6ffewkdpyn/app.bsky.feed.post/3mmmlfkiyfc22,2026-05-24 18:22:09.010000+00:00,Listen to the full report now: Apple Podcasts: podcasts.apple.com/us/podcast/t... Spotify: open.spotify.com/episode/3z7M...,59,219,2026-05-24,0.0047,negative
at://did:plc:wweiz52g7q2ncyj3jzaufav4/app.bsky.feed.post/3mmmwb2jb2s2t,2026-05-24 21:36:29.184000+00:00,Alastor just randomly picking up the Apple on Lucifer’s hat and starting to eat it like it was a free 24 hour buffet and Lucifer is just: ??????? CAN YOU NOT??,30,210,2026-05-24,0.0015,negative
at://did:plc:pm76fbdbkjy65iy2q3vi3iuo/app.bsky.feed.post/3mmmrc6yetk2k,2026-05-24 20:07:38.454000+00:00,I forgot how to draw living creatures. So just apples,7,48,2026-05-24,0.0007,negative
at://did:plc:b4pkmopuhf6ro2emzusotdti/app.bsky.feed.post/3mmmya4hi2s25,2026-05-24 22:11:45.152000+00:00,ITS THE APPLE FRITTER MAN,6,14,2026-05-24,0.0123,negative
at://did:plc:z5iaa2ueaqyzjmyromlucpkx/app.bsky.feed.post/3mmmitsbxm22e,2026-05-24 17:36:25.705000+00:00,*cuts apple slices and chucks them under the porch for the rabbits my dog bringing in apples he found outside,33,298,2026-05-24,0.0073,negative
at://did:plc:6l5p6cx7726udtcts2rw5sar/app.bsky.feed.post/3mmmuovfw4c27,2026-05-24 21:08:26.108000+00:00,"With Widows Bay on Apple TV and The Boroughs on Netflix, it's a great time for well-written spooky shit.",1,54,2026-05-24,0.9998,positive
